animals/fish/yellow_gourami_01.svg: unknown SVG attribute 'collect' (line 66, column 4)
animals/fish/yellow_gourami_01.svg: unknown SVG attribute 'collect' (line 67, column 4)
animals/fish/yellow_gourami_01.svg: unknown SVG attribute 'collect' (line 68, column 4)
animals/fish/yellow_gourami_01.svg: unknown SVG attribute 'collect' (line 69, column 4)
animals/fish/crawfish1_bw_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/fish/crawfish2_bw_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/fish/crawfish1_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/fish/crawfish2_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/fish/arctic_greyling_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/fish/paesaggio_marino_archite_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/topo_architetto_francesc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/contour_baboon.svg: root element is not in any namespace (line 2, column 0)
animals/mammals/simple_stylized_wolf_he_01.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/mammals/contour_elephant.svg: root element is not in any namespace (line 2, column 0)
animals/mammals/contour_fox.svg: root element is not in any namespace (line 2, column 0)
animals/mammals/contour_kangaroo.svg: root element is not in any namespace (line 2, column 0)
animals/mammals/contour_orangutan.svg: root element is not in any namespace (line 2, column 0)
animals/mammals/deer_matt_todd_01.svg: unknown SVG attribute 'space' (line 2, column 102)
animals/mammals/stylized_wolf_head_geral_01.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/mammals/raccoon_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/mammals/toro_al_tramonto_archite_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/skoynk_peterm_.svg: unknown SVG attribute 'space' (line 68, column 4)
animals/mammals/antilope_architetto_fran_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/coniglio_architetto_fran_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/rhinoceros_3d_architetto_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/rhinoceros_architetto_fr_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/canguro_architetto_franc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/stambecco_valdostano_arc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/vacca_pezzata_rossa_val_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/elefante01_architetto_fr_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/dall_sheep_ram_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/mammals/elephant_symbol_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/mammals/elefante02_architetto_fr_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/bears/orso_architetto_francesc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
